Number,Type,Polymer,Dispersion,Polar,Hydrogen Bonding,Interaction Radius
167,Correlations for Some Barrier-Type Polymers,POLYVINYLALCOHOL,15,17.2,17.8,10.2
168,Chemical Resistance Data - Modern Plastics Encylopedia,ACETAL CELANESE,21.1,9.3,5.9,11.4
169,Chemical Resistance Data - Modern Plastics Encylopedia,ACETALHOMO-DUO,19,5,8,5
170,Chemical Resistance Data - Modern Plastics Encylopedia,CELLULOSE ACETATE,16.9,16.3,3.7,13.7
171,Chemical Resistance Data - Modern Plastics Encylopedia,CELL. ACET. BUTYRATE,17.2,13.8,2.8,12.6
172,Chemical Resistance Data - Modern Plastics Encylopedia,CELL. ACET. PROPIONATE,9.8,13.6,11.4,15.2
173,Chemical Resistance Data - Modern Plastics Encylopedia,PCTFE,14.1,2.7,5.5,6.6
174,Chemical Resistance Data - Modern Plastics Encylopedia,FEP,19,4,3,4
175,Chemical Resistance Data - Modern Plastics Encylopedia,FURAN,19,6,8,5
176,Chemical Resistance Data - Modern Plastics Encylopedia,FURF ALC,19.9,3.9,5.1,3.8
177,Chemical Resistance Data - Modern Plastics Encylopedia,PFA(?),16.7,7.7,-0.5,8.1
178,Chemical Resistance Data - Modern Plastics Encylopedia,PHENOLIC,21.6,5.2,18.8,15.4
179,Chemical Resistance Data - Modern Plastics Encylopedia,PETG,18,3,4,6
180,Chemical Resistance Data - Modern Plastics Encylopedia,HDPE,18,0,2,2
181,Chemical Resistance Data - Modern Plastics Encylopedia,PP,18,0,1,6
182,Poly(Ethylene/Chlorotrifluoroethylene ),PECTFE SOL AT HIGH TEMP.,19.5,7.3,1.7,5.1
183,Solubility of Polyacrylonitirile,PAN,21.7,14.1,9.1,10.9
184,PEI - Polyethylene Imide - Environmental Stress Cracking (ESC ),PEI 1200PSI,17.2,6.4,5.2,3.6
185,PEI - Polyethylene Imide - Environmental Stress Cracking (ESC ),PEI 2400PSI,17.4,4.6,9,7.2
186,PEI - Polyethylene Imide - Environmental Stress Cracking (ESC ),PEI 600PSI,17.3,5.3,4.7,3.3
187,Based on Solvent Range Solubility Data - Not too Reliable,ESTER GUM,16.9,4.5,6.5,9.2
188,Based on Solvent Range Solubility Data - Not too Reliable,ALKYD 45 SOYA,17.5,2.3,7.7,10
189,Based on Solvent Range Solubility Data - Not too Reliable,SILICONE DC-1107?,19.6,3.4,10.8,9.8
190,Based on Solvent Range Solubility Data - Not too Reliable,PVETHYLETHER?,15.1,3.1,11.9,12.9
191,Based on Solvent Range Solubility Data - Not too Reliable,PBUTYLACRYLATE,16.2,9,3,10.1
192,Based on Solvent Range Solubility Data - Not too Reliable,PBMA?,15.9,5.5,5.9,8.5
193,Based on Solvent Range Solubility Data - Not too Reliable,SILICONE DC 23?,16.4,0,7.8,5.5
194,Based on Solvent Range Solubility Data - Not too Reliable,PE,16,0.8,2.8,3.2
195,Based on Solvent Range Solubility Data - Not too Reliable,GILSONITE,17.1,2.1,3.9,4.9
196,Based on Solvent Range Solubility Data - Not too Reliable,PVINYLBUTYLETHER,17.4,3.4,7.8,8.4
197,Based on Solvent Range Solubility Data - Not too Reliable,NAT RUBBER,16,4,6,1.3
198,Based on Solvent Range Solubility Data - Not too Reliable,HYP 20 CHLOROSULFONATED PE,17.4,3.2,4,4.8
