Solvent,Temperature (°C),Solubility (%),Polymer
"1,1-dibromoethane",40,0.02204299,LDPE
"1,1-dibromoethane",35,0.01402562,LDPE
"1,1-dibromoethane",30,0.0087931,LDPE
"1,1-dibromoethane",25,0.00542704,LDPE
"1,1-dichloro-1-nitroethane",160,99.91835407,LDPE
"1,1-dichloro-1-nitroethane",155,99.9044515,LDPE
"1,1-dichloro-1-nitroethane",150,99.99988307,LDPE
"1,1-dichloro-1-nitroethane",145,99.99985271,LDPE
"1,1-dichloro-1-nitroethane",140,93.49227543,LDPE
"1,1-dichloro-1-nitroethane",135,72.48016504,LDPE
"1,1-dichloro-1-nitroethane",130,54.14565211,LDPE
"1,1-dichloro-1-nitroethane",125,39.15524943,LDPE
"1,1-dichloro-1-nitroethane",120,27.7816041,LDPE
"1,1-dichloro-1-nitroethane",115,19.62101971,LDPE
"1,1-dichloro-1-nitroethane",110,13.90539485,LDPE
"1,1-dichloro-1-nitroethane",105,9.9076154,LDPE
"1,1-dichloro-1-nitroethane",100,7.08856742,LDPE
"1,1-dichloro-1-nitroethane",95,5.08152185,LDPE
"1,1-dichloro-1-nitroethane",90,3.64156638,LDPE
"1,1-dichloro-1-nitroethane",85,2.60344284,LDPE
"1,1-dichloro-1-nitroethane",80,1.85354245,LDPE
"1,1-dichloro-1-nitroethane",75,1.31216788,LDPE
"1,1-dichloro-1-nitroethane",70,0.92243828,LDPE
"1,1-dichloro-1-nitroethane",65,0.64320011,LDPE
"1,1-dichloro-1-nitroethane",60,0.44439446,LDPE
"1,1-dichloro-1-nitroethane",55,0.30394682,LDPE
"1,1-dichloro-1-nitroethane",50,0.20561439,LDPE
"1,1-dichloro-1-nitroethane",45,0.13745956,LDPE
"1,1-dichloro-1-nitroethane",40,0.0907425,LDPE
"1,1-dichloro-1-nitroethane",35,0.05910343,LDPE
"1,1-dichloro-1-nitroethane",30,0.0379516,LDPE
"1,1-dichloro-1-nitroethane",25,0.02400515,LDPE
"1,1-dichloroacetone",160,99.97026132,LDPE
"1,1-dichloroacetone",155,99.96081926,LDPE
"1,1-dichloroacetone",150,99.94833203,LDPE
"1,1-dichloroacetone",145,99.93182106,LDPE
"1,1-dichloroacetone",140,94.11714755,LDPE
"1,1-dichloroacetone",135,72.92540675,LDPE
"1,1-dichloroacetone",130,51.586857,LDPE
"1,1-dichloroacetone",125,33.7762216,LDPE
"1,1-dichloroacetone",120,21.89495944,LDPE
"1,1-dichloroacetone",115,14.587468,LDPE
"1,1-dichloroacetone",110,9.98301765,LDPE
"1,1-dichloroacetone",105,6.95682905,LDPE
"1,1-dichloroacetone",100,4.89981147,LDPE
"1,1-dichloroacetone",95,3.46894346,LDPE
"1,1-dichloroacetone",90,2.45898198,LDPE
"1,1-dichloroacetone",85,1.74014649,LDPE
"1,1-dichloroacetone",80,1.22664887,LDPE
"1,1-dichloroacetone",75,0.85978713,LDPE
"1,1-dichloroacetone",70,0.59837152,LDPE
"1,1-dichloroacetone",65,0.41298293,LDPE
"1,1-dichloroacetone",60,0.28236808,LDPE
"1,1-dichloroacetone",55,0.19107846,LDPE
"1,1-dichloroacetone",50,0.12786281,LDPE
"1,1-dichloroacetone",45,0.08453928,LDPE
"1,1-dichloroacetone",40,0.05518389,LDPE
"1,1-dichloroacetone",35,0.03553595,LDPE
"1,1-dichloroacetone",30,0.02255726,LDPE
"1,1-dichloroacetone",25,0.01410331,LDPE
"1,1-dichloroethane",160,99.99991448,LDPE
"1,1-dichloroethane",155,99.99989057,LDPE
"1,1-dichloroethane",150,99.99985891,LDPE
"1,1-dichloroethane",145,99.99981663,LDPE
"1,1-dichloroethane",140,95.44719579,LDPE
"1,1-dichloroethane",135,79.48776226,LDPE
"1,1-dichloroethane",130,63.46100407,LDPE
"1,1-dichloroethane",125,48.22540788,LDPE
"1,1-dichloroethane",120,35.03610067,LDPE
"1,1-dichloroethane",115,24.78510748,LDPE
"1,1-dichloroethane",110,17.40500021,LDPE
"1,1-dichloroethane",105,12.25257995,LDPE
"1,1-dichloroethane",100,8.66413111,LDPE
"1,1-dichloroethane",95,6.14578864,LDPE
"1,1-dichloroethane",90,4.36310659,LDPE
"1,1-dichloroethane",85,3.09311941,LDPE
"1,1-dichloroethane",80,2.18527744,LDPE
"1,1-dichloroethane",75,1.53595567,LDPE
"1,1-dichloroethane",70,1.07244054,LDPE
"1,1-dichloroethane",65,0.74291224,LDPE
"1,1-dichloroethane",60,0.51001786,LDPE
"1,1-dichloroethane",55,0.34664063,LDPE
"1,1-dichloroethane",50,0.23303321,LDPE
"1,1-dichloroethane",45,0.15481833,LDPE
"1,1-dichloroethane",40,0.10156156,LDPE
"1,1-dichloroethane",35,0.06573272,LDPE
"1,1-dichloroethane",30,0.04193935,LDPE
"1,1-dichloroethane",25,0.02635642,LDPE
"1,1-dichloroethylene",160,99.99990023,LDPE
"1,1-dichloroethylene",155,99.99987995,LDPE
"1,1-dichloroethylene",150,99.99985512,LDPE
"1,1-dichloroethylene",145,99.99982466,LDPE
"1,1-dichloroethylene",140,95.58525459,LDPE
"1,1-dichloroethylene",135,80.78189996,LDPE
"1,1-dichloroethylene",130,66.84343445,LDPE
"1,1-dichloroethylene",125,54.07653218,LDPE
