Solvent,Temperature (°C),Solubility (%),Polymer
"1,1-dibromoethane",150,46.86172881,PS
"1,1-dibromoethane",145,44.12434294,PS
"1,1-dibromoethane",140,41.43143887,PS
"1,1-dibromoethane",135,38.78643089,PS
"1,1-dibromoethane",130,36.19301741,PS
"1,1-dibromoethane",125,33.6549392,PS
"1,1-dibromoethane",120,31.1760425,PS
"1,1-dibromoethane",115,28.76060125,PS
"1,1-dibromoethane",110,26.41227903,PS
"1,1-dibromoethane",105,24.13583461,PS
"1,1-dibromoethane",100,21.9367032,PS
"1,1-dibromoethane",95,19.82001856,PS
"1,1-dibromoethane",90,17.79122067,PS
"1,1-dibromoethane",85,15.85709686,PS
"1,1-dibromoethane",80,14.02356932,PS
"1,1-dibromoethane",75,12.29786546,PS
"1,1-dibromoethane",70,10.68633262,PS
"1,1-dibromoethane",65,9.19522021,PS
"1,1-dibromoethane",60,7.82966112,PS
"1,1-dibromoethane",55,6.59364115,PS
"1,1-dibromoethane",50,5.48897636,PS
"1,1-dibromoethane",45,4.5151565,PS
"1,1-dibromoethane",40,3.66906671,PS
"1,1-dibromoethane",35,2.94492716,PS
"1,1-dibromoethane",30,2.33455553,PS
"1,1-dibromoethane",25,1.82787823,PS
"1,1-dichloro-1-nitroethane",160,58.79176742,PS
"1,1-dichloro-1-nitroethane",155,56.01972135,PS
"1,1-dichloro-1-nitroethane",150,53.24448647,PS
"1,1-dichloro-1-nitroethane",145,50.47062635,PS
"1,1-dichloro-1-nitroethane",140,47.70357617,PS
"1,1-dichloro-1-nitroethane",135,44.94974639,PS
"1,1-dichloro-1-nitroethane",130,42.21481979,PS
"1,1-dichloro-1-nitroethane",125,39.5050636,PS
"1,1-dichloro-1-nitroethane",120,36.82706693,PS
"1,1-dichloro-1-nitroethane",115,34.18777761,PS
"1,1-dichloro-1-nitroethane",110,31.59474009,PS
"1,1-dichloro-1-nitroethane",105,29.05523572,PS
"1,1-dichloro-1-nitroethane",100,26.57760328,PS
"1,1-dichloro-1-nitroethane",95,24.17106299,PS
"1,1-dichloro-1-nitroethane",90,21.84389157,PS
"1,1-dichloro-1-nitroethane",85,19.60569436,PS
"1,1-dichloro-1-nitroethane",80,17.46639086,PS
"1,1-dichloro-1-nitroethane",75,15.43496887,PS
"1,1-dichloro-1-nitroethane",70,13.52134061,PS
"1,1-dichloro-1-nitroethane",65,11.73402211,PS
"1,1-dichloro-1-nitroethane",60,10.08093588,PS
"1,1-dichloro-1-nitroethane",55,8.56830415,PS
"1,1-dichloro-1-nitroethane",50,7.20061461,PS
"1,1-dichloro-1-nitroethane",45,5.97988523,PS
"1,1-dichloro-1-nitroethane",40,4.90524578,PS
"1,1-dichloro-1-nitroethane",35,3.97298585,PS
"1,1-dichloro-1-nitroethane",30,3.17648126,PS
"1,1-dichloro-1-nitroethane",25,2.50649485,PS
"1,1-dichloroacetone",160,59.06884009,PS
"1,1-dichloroacetone",155,55.87719471,PS
"1,1-dichloroacetone",150,52.6160161,PS
"1,1-dichloroacetone",145,49.292842,PS
"1,1-dichloroacetone",140,45.91729726,PS
"1,1-dichloroacetone",135,42.50261086,PS
"1,1-dichloroacetone",130,39.06541828,PS
"1,1-dichloroacetone",125,35.62678988,PS
"1,1-dichloroacetone",120,32.21207493,PS
"1,1-dichloroacetone",115,28.85112302,PS
"1,1-dichloroacetone",110,25.57794696,PS
"1,1-dichloroacetone",105,22.42922431,PS
"1,1-dichloroacetone",100,19.44213892,PS
"1,1-dichloroacetone",95,16.65179766,PS
"1,1-dichloroacetone",90,14.08823943,PS
"1,1-dichloroacetone",85,11.77360157,PS
"1,1-dichloroacetone",80,9.72022298,PS
"1,1-dichloroacetone",75,7.93007032,PS
"1,1-dichloroacetone",70,6.39541641,PS
"1,1-dichloroacetone",65,5.10058933,PS
"1,1-dichloroacetone",60,4.02429283,PS
"1,1-dichloroacetone",55,3.14200192,PS
"1,1-dichloroacetone",50,2.42807509,PS
"1,1-dichloroacetone",45,1.85739206,PS
"1,1-dichloroacetone",40,1.40647692,PS
"1,1-dichloroacetone",35,1.05416184,PS
"1,1-dichloroacetone",30,0.78188906,PS
"1,1-dichloroacetone",25,0.57375527,PS
"1,1-dichloroethane",160,67.20397965,PS
"1,1-dichloroethane",155,64.5979275,PS
"1,1-dichloroethane",150,61.92530572,PS
"1,1-dichloroethane",145,59.18827355,PS
"1,1-dichloroethane",140,56.38989821,PS
"1,1-dichloroethane",135,53.53408527,PS
"1,1-dichloroethane",130,50.62576037,PS
"1,1-dichloroethane",125,47.67108056,PS
"1,1-dichloroethane",120,44.67794522,PS
"1,1-dichloroethane",115,41.65507231,PS
"1,1-dichloroethane",110,38.61422098,PS
"1,1-dichloroethane",105,35.5688973,PS
"1,1-dichloroethane",100,32.53566825,PS
"1,1-dichloroethane",95,29.53241098,PS
"1,1-dichloroethane",90,26.58122777,PS
"1,1-dichloroethane",85,23.70530522,PS
"1,1-dichloroethane",80,20.93025347,PS
"1,1-dichloroethane",75,18.2820846,PS
"1,1-dichloroethane",70,15.78684526,PS
"1,1-dichloroethane",65,13.46847472,PS
"1,1-dichloroethane",60,11.34687199,PS
"1,1-dichloroethane",55,9.43673543,PS
"1,1-dichloroethane",50,7.74600192,PS
"1,1-dichloroethane",45,6.27521936,PS
"1,1-dichloroethane",40,5.01786539,PS
"1,1-dichloroethane",35,3.96122336,PS
"1,1-dichloroethane",30,3.08788905,PS
"1,1-dichloroethane",25,2.37748089,PS
"1,1-dichloroethylene",160,67.94038929,PS
"1,1-dichloroethylene",155,65.40647776,PS
"1,1-dichloroethylene",150,62.81113725,PS
"1,1-dichloroethylene",145,60.15626787,PS
"1,1-dichloroethylene",140,57.44499922,PS
"1,1-dichloroethylene",135,54.68181425,PS
"1,1-dichloroethylene",130,51.87114491,PS
"1,1-dichloroethylene",125,49.01865153,PS
"1,1-dichloroethylene",120,46.13138493,PS
"1,1-dichloroethylene",115,43.21679112,PS
"1,1-dichloroethylene",110,40.28474816,PS
"1,1-dichloroethylene",105,37.34626073,PS
"1,1-dichloroethylene",100,34.41488994,PS
"1,1-dichloroethylene",95,31.50466473,PS
"1,1-dichloroethylene",90,28.6325875,PS
"1,1-dichloroethylene",85,25.81763217,PS
"1,1-dichloroethylene",80,23.07932438,PS
"1,1-dichloroethylene",75,20.43966005,PS
"1,1-dichloroethylene",70,17.92023121,PS
"1,1-dichloroethylene",65,15.5426747,PS
"1,1-dichloroethylene",60,13.32680532,PS
"1,1-dichloroethylene",55,11.29007172,PS
"1,1-dichloroethylene",50,9.44552187,PS
"1,1-dichloroethylene",45,7.80114346,PS
"1,1-dichloroethylene",40,6.35916434,PS
"1,1-dichloroethylene",35,5.11580856,PS
"1,1-dichloroethylene",30,4.06172499,PS
"1,1-dichloroethylene",25,3.18296961,PS
"1,1-dichloropropane",160,63.31351845,PS
"1,1-dichloropropane",155,60.47111768,PS
"1,1-dichloropropane",150,57.57162611,PS
"1,1-dichloropropane",145,54.62011639,PS
"1,1-dichloropropane",140,51.62297347,PS
"1,1-dichloropropane",135,48.58806938,PS
"1,1-dichloropropane",130,45.52400415,PS
"1,1-dichloropropane",125,42.44145212,PS
"1,1-dichloropropane",120,39.35377366,PS
"1,1-dichloropropane",115,36.27496354,PS
"1,1-dichloropropane",110,33.22152086,PS
"1,1-dichloropropane",105,30.21188618,PS
"1,1-dichloropropane",100,27.26644186,PS
"1,1-dichloropropane",95,24.40686133,PS
"1,1-dichloropropane",90,21.65547971,PS
"1,1-dichloropropane",85,19.03513451,PS
"1,1-dichloropropane",80,16.56716322,PS
"1,1-dichloropropane",75,14.27066185,PS
"1,1-dichloropropane",70,12.1614706,PS
"1,1-dichloropropane",65,10.25073793,PS
"1,1-dichloropropane",60,8.54432574,PS
"1,1-dichloropropane",55,7.04240236,PS
"1,1-dichloropropane",50,5.73964454,PS
"1,1-dichloropropane",45,4.62592742,PS
"1,1-dichloropropane",40,3.68725527,PS
"1,1-dichloropropane",35,2.90697171,PS
"1,1-dichloropropane",30,2.2669697,PS
"1,1-dichloropropane",25,1.74877107,PS
"1,1-dichloropropene",160,63.76708395,PS
"1,1-dichloropropene",155,60.94142661,PS
"1,1-dichloropropene",150,58.05629642,PS
"1,1-dichloropropene",145,55.11655522,PS
"1,1-dichloropropene",140,52.12839078,PS
"1,1-dichloropropene",135,49.09926171,PS
"1,1-dichloropropene",130,46.03827059,PS
"1,1-dichloropropene",125,42.95519042,PS
"1,1-dichloropropene",120,39.86355393,PS
"1,1-dichloropropene",115,36.77719897,PS
"1,1-dichloropropene",110,33.7125499,PS
"1,1-dichloropropene",105,30.68801999,PS
"1,1-dichloropropene",100,27.72405766,PS
"1,1-dichloropropene",95,24.84247005,PS
"1,1-dichloropropene",90,22.06589014,PS
"1,1-dichloropropene",85,19.41729944,PS
"1,1-dichloropropene",80,16.91873159,PS
"1,1-dichloropropene",75,14.58996389,PS
"1,1-dichloropropene",70,12.44742228,PS
"1,1-dichloropropene",65,10.50311708,PS
"1,1-dichloropropene",60,8.76374264,PS
"1,1-dichloropropene",55,7.23023522,PS
"1,1-dichloropropene",50,5.89797413,PS
"1,1-dichloropropene",45,4.75732686,PS
"1,1-dichloropropene",40,3.79464552,PS
"1,1-dichloropropene",35,2.99342611,PS
"1,1-dichloropropene",30,2.33554867,PS
"1,1-dichloropropene",25,1.80238685,PS
"1,1-diethoxyethane",160,61.80091211,PS
"1,1-diethoxyethane",155,58.90434804,PS
"1,1-diethoxyethane",150,55.96713546,PS
"1,1-diethoxyethane",145,52.99726512,PS
"1,1-diethoxyethane",140,50.003702,PS
"1,1-diethoxyethane",135,46.99642208,PS
"1,1-diethoxyethane",130,43.98643143,PS
"1,1-diethoxyethane",125,40.98576034,PS
"1,1-diethoxyethane",120,38.00742448,PS
"1,1-diethoxyethane",115,35.06534381,PS
"1,1-diethoxyethane",110,32.17420996,PS
"1,1-diethoxyethane",105,29.34924409,PS
"1,1-diethoxyethane",100,26.60616247,PS
"1,1-diethoxyethane",95,23.96056024,PS
"1,1-diethoxyethane",90,21.4273852,PS
"1,1-diethoxyethane",85,19.0211506,PS
"1,1-diethoxyethane",80,16.75480682,PS
"1,1-diethoxyethane",75,14.63959467,PS
"1,1-diethoxyethane",70,12.68431324,PS
"1,1-diethoxyethane",65,10.89501313,PS
"1,1-diethoxyethane",60,9.27486757,PS
"1,1-diethoxyethane",55,7.82381409,PS
"1,1-diethoxyethane",50,6.53870656,PS
"1,1-diethoxyethane",45,5.41343549,PS
"1,1-diethoxyethane",40,4.43937735,PS
"1,1-diethoxyethane",35,3.60584237,PS
"1,1-diethoxyethane",30,2.90068758,PS
"1,1-diethoxyethane",25,2.31087696,PS
"1,1-difluoroethane",160,74.957498,PS
"1,1-difluoroethane",155,72.59253299,PS
"1,1-difluoroethane",150,70.08584039,PS
"1,1-difluoroethane",145,67.42657418,PS
"1,1-difluoroethane",140,64.60340454,PS
"1,1-difluoroethane",135,61.60396702,PS
"1,1-difluoroethane",130,58.41772196,PS
"1,1-difluoroethane",125,55.03421911,PS
"1,1-difluoroethane",120,51.44693287,PS
"1,1-difluoroethane",115,47.65439706,PS
"1,1-difluoroethane",110,43.66596989,PS
"1,1-difluoroethane",105,39.50448688,PS
"1,1-difluoroethane",100,35.21434008,PS
"1,1-difluoroethane",95,30.86449906,PS
"1,1-difluoroethane",90,26.55066875,PS
"1,1-difluoroethane",85,22.38839356,PS
"1,1-difluoroethane",80,18.49771629,PS
"1,1-difluoroethane",75,14.98237432,PS
"1,1-difluoroethane",70,11.91154868,PS
"1,1-difluoroethane",65,9.31177907,PS
"1,1-difluoroethane",60,7.17068157,PS
"1,1-difluoroethane",55,5.44818817,PS
"1,1-difluoroethane",50,4.08939408,PS
"1,1-difluoroethane",45,3.03506129,PS
"1,1-difluoroethane",40,2.22849575,PS
"1,1-difluoroethane",35,1.61919169,PS
"1,1-difluoroethane",30,1.1642115,PS
"1,1-difluoroethane",25,0.82820619,PS
"1,1-difluoroethene",160,100,PS
"1,1-difluoroethene",155,74.32009135,PS
"1,1-difluoroethene",150,72.10137293,PS
"1,1-difluoroethene",145,69.7766373,PS
"1,1-difluoroethene",140,67.34113467,PS
"1,1-difluoroethene",135,64.7904588,PS
"1,1-difluoroethene",130,62.12056536,PS
"1,1-difluoroethene",125,59.32807633,PS
"1,1-difluoroethene",120,56.4109416,PS
"1,1-difluoroethene",115,53.36794898,PS
"1,1-difluoroethene",110,50.20105377,PS
"1,1-difluoroethene",105,46.91595089,PS
"1,1-difluoroethene",100,43.52122415,PS
"1,1-difluoroethene",95,40.03320114,PS
"1,1-difluoroethene",90,36.47322435,PS
"1,1-difluoroethene",85,32.87285424,PS
"1,1-difluoroethene",80,29.27161627,PS
"1,1-difluoroethene",75,25.71795373,PS
"1,1-difluoroethene",70,22.26746849,PS
"1,1-difluoroethene",65,18.9796624,PS
"1,1-difluoroethene",60,15.91224349,PS
"1,1-difluoroethene",55,13.11564592,PS
"1,1-difluoroethene",50,10.62702293,PS
"1,1-difluoroethene",45,8.46630944,PS
"1,1-difluoroethene",40,6.6352959,PS
"1,1-difluoroethene",35,5.11927491,PS
"1,1-difluoroethene",30,3.89103542,PS
"1,1-difluoroethene",25,2.91567801,PS
"1,1-dimethoxyethane",160,69.84864585,PS
"1,1-dimethoxyethane",155,67.46086378,PS
"1,1-dimethoxyethane",150,65.01696075,PS
"1,1-dimethoxyethane",145,62.52006872,PS
"1,1-dimethoxyethane",140,59.97287344,PS
"1,1-dimethoxyethane",135,57.3790557,PS
"1,1-dimethoxyethane",130,54.74381715,PS
"1,1-dimethoxyethane",125,52.0719205,PS
"1,1-dimethoxyethane",120,49.36915917,PS
"1,1-dimethoxyethane",115,46.64209631,PS
"1,1-dimethoxyethane",110,43.89812975,PS
"1,1-dimethoxyethane",105,41.14555531,PS
"1,1-dimethoxyethane",100,38.39386383,PS
"1,1-dimethoxyethane",95,35.65244255,PS
