polymer,solvent,n_points,n_dropped_100,t_min_c,t_max_c,mk_A,mk_B,mk_C,mk_r2,mk_rmse_lns,mk_mae_pct,mk_rmse_pct,mk_max_err_pct,mk_category,apel_A,apel_B,apel_C,apel_r2,apel_rmse_lns,apel_mae_pct,apel_rmse_pct,apel_max_err_pct,apel_category,delta_r2,winner
Nylon66,ethylacetate,28,0,25.0,160.0,16.365090751543477,-4508.427351111847,-642057.9117063199,0.99992479,0.0218592792675793,0.06080548067927462,0.15606379692577665,0.7192699019578495,fitted,91.99291391323653,-11792.668594218661,-10.252316656342197,0.9999467,0.018401516048859957,0.051050441019890216,0.12938539731829735,0.5985772519861463,fitted,2.191e-05,apelblat
Nylon66,glycol,28,0,25.0,160.0,30.428618822151865,-16446.42479973474,1490705.4648507223,0.9999962,0.004889585473378105,0.000997921241687017,0.002756150630316715,0.01271919890648232,fitted,-141.65875025041092,283.5781593737125,23.294961741261414,0.99999765,0.0038413584405204426,0.001040297962762999,0.0028044917790343714,0.012906067265348709,fitted,1.45e-06,tie
Nylon66,h2o,84,0,25.0,160.0,60.625794523390006,-49388.760460825186,8000403.449032535,0.9993518,0.039151198385696084,9.036104250653659e-08,2.353299658912435e-07,1.055907942195683e-06,fitted,-863.7901289808923,40442.88621495354,125.1437843649375,0.99986628,0.01778237762245418,6.854958963692389e-08,2.0689104805539427e-07,1.0075677691894065e-06,fitted,0.00051448,apelblat
Nylon66,hexane,28,0,25.0,160.0,19.914765585233607,-7196.504087913306,-730900.9990209136,0.99999976,0.0017292458083498362,0.0001904514502898556,0.0005928556231948925,0.002938975013103917,fitted,104.03781201108497,-15386.184196083077,-11.38501410197087,0.99999784,0.005162294521591524,0.0005024843557896188,0.001511134784266928,0.007291602133605135,fitted,-1.92e-06,tie
Nylon66,isopropylamine,28,0,25.0,160.0,11.037782523528419,-1172.3417017050326,-947212.9242384778,0.99962722,0.03897924352656533,0.24200759601209818,0.5245807727084104,2.2414190064800366,fitted,123.23606547621777,-11951.206519020001,-15.215931754473488,0.9997225,0.033630437837576806,0.20147211610171192,0.43194017427418063,1.8407857899927933,fitted,9.528e-05,apelblat
Nylon66,methanol,56,0,25.0,160.0,25.19046866414815,-10683.143913526983,494140.8887160154,0.99981699,0.03320732853905551,0.17523746256064135,0.4651124113026763,2.182766859171842,fitted,-29.332430200895857,-5268.648786766771,7.355872272943766,0.99978881,0.03567230198250117,0.18034101405088435,0.47405738560713934,2.2240661909586876,fitted,-2.818e-05,mk
Nylon66,methylacetate,28,0,25.0,160.0,15.767994094735368,-3784.07964521678,-799618.2801707202,0.99986983,0.029334094002243568,0.10163083893367898,0.25949244859371084,1.189505849704224,fitted,110.12458576285269,-12864.701742922074,-12.792872744276439,0.99990544,0.025001544009135943,0.08604289203764161,0.2164998424281323,0.9954174710032291,fitted,3.561e-05,apelblat
Nylon66,n-heptane,28,0,25.0,160.0,19.512784438330744,-7114.523507469246,-745387.1187781512,0.99999984,0.0014056226609509362,0.00011368783678073304,0.00035247270658055334,0.0017483065504035888,fitted,105.3221225805042,-15467.508684335027,-11.613419922181686,0.999998,0.004959553395692709,0.0003522202642819807,0.001056828499898385,0.005081701799103722,fitted,-1.84e-06,tie
Nylon66,propanol,28,0,25.0,160.0,18.800424770750944,-6574.685731907366,-118667.81976066454,0.99980387,0.03148597316569769,0.14239797831039777,0.35152540865305876,1.5989997422665851,fitted,34.86691876903077,-8029.684823220904,-2.198101685450924,0.99981241,0.03079278835720312,0.13536987032348455,0.32954999506116894,1.5002259692627895,fitted,8.54e-06,tie
Nylon66,propanone,28,0,25.0,160.0,12.830443284776885,-1765.5335537428746,-1052488.7370853454,0.9997173,0.04013012237514073,0.20330008219049425,0.4856204227290201,2.155456207698318,fitted,137.20502782268525,-13727.10514341845,-16.86442993553996,0.99979365,0.03428548792254501,0.16997768165237798,0.40046234821892873,1.7782723096828477,fitted,7.635e-05,apelblat
Nylon66,propyleneglycol,28,0,25.0,160.0,26.50361052147183,-12999.035748936383,962250.3427495529,0.99999911,0.002228594467164595,0.001621118370533603,0.0038996351524536897,0.018100686149134404,fitted,-84.39416587447968,-2209.42685961157,15.010094983295703,0.99999531,0.005106635361381191,0.005596800462159052,0.015193306854414305,0.07235529296132981,fitted,-3.8e-06,tie
Nylon66,tert-butanol,28,0,25.0,160.0,18.806323013640675,-6565.755954078109,-183207.02710738237,0.99990445,0.023049296307320128,0.07494928515458141,0.1904133066565165,0.8769337176965077,fitted,41.6633289062056,-8710.728260036793,-3.1108388351235066,0.99991272,0.02202939449154975,0.0699037674334455,0.17538492332394026,0.8090444761858926,fitted,8.27e-06,tie
Nylon66,thf,28,0,25.0,160.0,13.51761303977531,-2781.0432584336377,-767838.9468685574,0.99975468,0.03452781468299449,0.1563259838746102,0.3644535855998546,1.6066585622376053,fitted,104.67370684534369,-11529.37105213891,-12.36422352348908,0.99981187,0.030236252518478463,0.13313322836204944,0.3070941555701492,1.3541151450830533,fitted,5.719e-05,apelblat
Nylon66,thp,28,0,25.0,160.0,18.65535362146509,-6526.917368601627,-222084.94386402116,0.99995598,0.016014212168417995,0.04001897743799015,0.10350292013593133,0.48100513484901697,fitted,45.44772913837077,-9079.448316870637,-3.6381355634843633,0.99996235,0.014810891524619072,0.03636658214385228,0.09305992098033941,0.4335757220941545,fitted,6.37e-06,tie
Nylon66,toluene,28,0,25.0,160.0,18.997992130458258,-6093.389738104308,-597515.4118562144,0.9999985,0.003589517898981481,0.004526753506866997,0.01330812730697217,0.06493065794088704,fitted,88.08508729145157,-12804.944521056314,-9.353194277196636,0.99999975,0.0014808526397368407,0.0018826249396594428,0.005179568804536117,0.025170314217388245,fitted,1.25e-06,tie
Nylon66,triethylamine,28,0,25.0,160.0,29.011278440344437,-16129.82994956718,1702961.1091684792,0.99999548,0.004337867135205887,0.0007356987320179198,0.0013275320561788831,0.0038077031519052618,fitted,-167.40113227737046,2973.0390979538347,26.58602678569027,0.99998815,0.007026762800730109,0.0035008896053095448,0.008938315402701347,0.041273426485964215,fitted,-7.33e-06,tie
PC,"1,2-dimethylbenzene",28,0,25.0,160.0,1.5791906191727867,5559.91512628043,-1995772.5203317679,0.99934465,0.04520320813743315,0.47456128926700425,0.8615912020481715,3.283911163340967,fitted,235.07085431377723,-16999.680706039613,-31.637488053451047,0.99963054,0.03394032799738337,0.32819715216496703,0.5732387934276827,2.099928999133084,fitted,0.00028589,apelblat
PC,"1,4-dimethylbenzene",28,0,25.0,160.0,2.7085556775534636,4838.432862916713,-1897799.9408953795,0.99931868,0.04744774862294421,0.49225650815171373,0.9183553553426408,3.5746698933471706,fitted,225.10658280463556,-16632.887403818797,-30.13789759852901,0.99959278,0.03668216720194292,0.3566276291311401,0.6440196424675486,2.440089561481173,fitted,0.0002741,apelblat
PC,"2,3-dihydropyran",28,0,25.0,160.0,-7.077532645336527,11253.73986601545,-2804298.743335043,0.9997861,0.02078575811329187,0.18826993288192853,0.23778515076898324,0.4427218325434268,fitted,317.09121172710275,-20241.449530864986,-43.886086575311985,0.99988798,0.015042019623633442,0.263128350678028,0.41827765705941955,1.492021705777141,fitted,0.00010188,apelblat
PC,2-propanol,28,0,25.0,160.0,35.91209024923378,-15374.48464072447,571792.6709745957,0.99983507,0.0484869371167225,0.28450894458931053,0.9374430335413597,4.661391877101195,fitted,-26.481734073571005,-9145.40516542765,8.410610600783958,0.9998154,0.05129654076246424,0.2876416386980259,0.9432003652507779,4.691945576358997,fitted,-1.967e-05,mk
PC,acetylacetone,28,0,25.0,160.0,13.530265657835107,-2751.4790074245584,-683494.2781547018,0.9995824,0.041853864649089724,0.32981223560281286,0.7418145874325138,3.2323064816124436,fitted,95.56624674722585,-10585.308373038786,-11.135710773574365,0.99965608,0.03798215272910079,0.2882858377329858,0.6436572796781905,2.8034820095419555,fitted,7.368e-05,apelblat
PC,benzene,28,0,25.0,160.0,-8.007991005815606,11627.15363770487,-2785124.9666538113,0.99990058,0.012701709787947364,0.23059119596184027,0.3422472890608793,1.1633784546414176,fitted,312.68549930952224,-19587.183907132312,-43.40327158567426,0.99972243,0.02122363638479692,0.4907528798966121,0.7846906962863349,2.7836246317250684,fitted,-0.00017815,mk
PC,butanone,28,0,25.0,160.0,-5.976050623619601,9755.301901978288,-2347581.8821441056,0.9998931,0.011244479685287388,0.28416864278270487,0.4378137875916757,1.518351517380566,fitted,263.74002709451975,-16524.22277965645,-36.49802377256465,0.99955383,0.022972074844544606,0.5531330652007774,0.8438764177113941,2.896403714943645,fitted,-0.00033927,mk
