Name,solvent_SMILES,CAS,G-score prediction,G-score prediction uncertainty,Relative Energy Difference (RED),Source
"2,3,3,5-Tetramethylhexane",CC(C)CC(C)(C)C(C)C,52897-11-7,5.74,0.9987,0.10606601717798263,low-fidelity RED
"2,4,4-Trimethylhexane",CC(C)CC(C)(C)CC,16747-30-1,5.611,0.7923,0.10606601717798263,low-fidelity RED
"2,4-Dimethyl-1-Pentene",CC(C)CC(C)=C,2213-32-3,5.768,0.9149,0.5836308764964376,low-fidelity RED
"2,4-Dimethylpentane",CC(C)CC(C)C,108-08-7,5.556,0.6814,0.10606601717798263,low-fidelity RED
"2,2,3,5-Tetramethylhexane",CC(C)CC(C)C(C)(C)C,52897-09-3,5.561,0.7495,0.10606601717798263,low-fidelity RED
"2,4,6-Trimethylheptane",CC(C)CC(C)CC(C)C,2613-61-8,5.556,0.6814,0.06123724356957931,low-fidelity RED
4-Ethyl-2-Methylhexane,CC(C)CC(CC)CC,3074-75-7,5.732,0.902,0.06123724356957931,low-fidelity RED
4-Methyl-1-Pentene,CC(C)CC=C,691-37-2,5.768,0.9579,0.7474958193863026,low-fidelity RED
Isobutylcyclopentane,CC(C)CC1CCCC1,3788-32-7,5.483,0.9216,0.5012484413940855,low-fidelity RED
Isobutylcyclohexane,CC(C)CC1CCCCC1,1678-98-4,5.685,0.933,0.5511351921262149,low-fidelity RED
"2,5-Dimethylhexane",CC(C)CCC(C)C,592-13-2,5.492,0.773,0.06123724356957931,low-fidelity RED
Phytyl Acetate,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC/C(=C/COC(=O)C)/C,10236-16-5,7.671,0.9925,0.9762812094883322,low-fidelity RED
"2,2,6-Trimethylheptane",CC(C)CCCC(C)(C)C,1190-83-6,6.395,0.8389,0.06123724356957931,low-fidelity RED
"2,6-Dimethylheptane",CC(C)CCCC(C)C,1072-05-5,5.656,0.7648,0.06123724356957931,low-fidelity RED
"2,3,7-Trimethyloctane",CC(C)CCCC(C)C(C)C,62016-34-6,5.572,0.8983,0.15411035007422388,low-fidelity RED
"2,6-Dimethyloctane",CC(C)CCCC(C)CC,2051-30-1,5.701,0.9358,0.15411035007422388,low-fidelity RED
2-Methylheptane,CC(C)CCCCC,592-27-8,5.521,0.7355,0.1060660171779818,low-fidelity RED
"2,7-Dimethyloctane",CC(C)CCCCC(C)C,1072-16-8,5.68,0.7804,0.15411035007422388,low-fidelity RED
Citronellal Diisotridecyl Acetal,CC(C)CCCCCCCCCCOC(CC(C)CCC=C(C)C)OCCCCCCCCCCC(C)C,67923-82-4,6.757,1.205,0.7407766195014526,low-fidelity RED
