Name,solvent_SMILES,CAS,G-score prediction,G-score prediction uncertainty,Relative Energy Difference (RED),Source
2-Pentylnaphthalene,c(ccc1cc2CCCCC)cc1cc2,93-22-1,7.166,1.092,0.6123724356957948,low-fidelity RED
2-Decylnaphthalene,c(ccc1cc2CCCCCCCCCC)cc1cc2,14188-79-5,7.111,1.099,0.6314665470157542,low-fidelity RED
1-Ethyl-2-Propylbenzene,c(ccc1CCC)cc1CC,16021-20-8,6.641,0.9615,0.7271519786124485,low-fidelity RED
Heptadecylbenzene,c(ccc1CCCCCCCCCCCCCCCCC)cc1,14752-75-1,6.257,0.8937,0.9791578013783062,low-fidelity RED
Cyclooctadecane,C(CCCCCCCCC1)CCCCCCCC1,296-18-4,5.364,0.6825,0.8054501846793495,low-fidelity RED
Cycloeicosane,C(CCCCCCCCCC1)CCCCCCCCC1,296-56-0,5.364,0.6825,0.8463155439905372,low-fidelity RED
4A-Methyl-Cis-Decahydronaphthalene,C[C]12[C@@H](CCCC1)CCCC2,2547-26-4,5.281,1.002,0.8881159834165805,low-fidelity RED
β-Sesquiphellandrene,C[C@@H](CCC=C(C)C)C1CCC(=C)C=C1,20307-83-9,7.473,1.342,0.8993052874302474,low-fidelity RED
Acetyl Cedrene,C[C@@H]1CC[C]2\3C[C@H]1C([C@@H]2CC/C3=C/C(=O)C)(C)C,80449-58-7,6.602,1.402,0.9711462299777511,low-fidelity RED
Cedrenyl Acetate,C[C@@H]1CC[C@@H]2[C]13CC=C([C@H](C3)C2(C)C)COC(=O)C,1405-92-1,7.738,1.464,0.8721381771256193,low-fidelity RED
α-Gurjunene,C[C@@H]1CC[C@@H]2[C@@H](C2(C)C)C3=C(CCC13)C,489-40-7,6.299,1.356,0.9045026257562757,low-fidelity RED
α-Cedrene,C[C@@H]1CC[C@@H]2C13CC=C(C(C3)C2(C)C)C,469-61-4,6.33,1.335,0.8444672877027258,low-fidelity RED
Cedryl Acetate,C[C@@H]1CC[C@@H]2C13CCC(C(C3)C2(C)C)(C)OC(=O)C,77-54-3,6.206,1.364,0.8902246907382423,low-fidelity RED
β-Cubebene,C[C@@H]1CC[C@H]([C@H]2[C]13[C@@H]2C(=C)CC3)C(C)C,13744-15-5,6.335,1.29,0.9082951062292471,low-fidelity RED
γ-Gurjunene,C[C@@H]1CC[C@H](C=C2C1CC[C@H]2C)C(=C)C,22567-17-5,6.939,1.197,0.896521053852055,low-fidelity RED
Viridiflorene,C[C@@H]1CCC2=C(CC[C@@H]3[C@H]([C@H]12)C3(C)C)C,21747-46-6,6.255,1.4,0.9045026257562757,low-fidelity RED
Aristolone,C[C@@H]1CCCC2=CC(=O)[C@@H]3[C@H]([C]12C)C3(C)C,6831-17-0,7.191,1.268,0.9788385975225942,low-fidelity RED
"(R)-N,N,α-Trimethyl Benzyl Amine",C[C@H](C1=CC=CC=C1)N(C)C,19342-01-9,5.836,0.9352,0.9620940702446924,low-fidelity RED
Cadinene,C[C@H]1CC[C@H]([C@H]2[C@H]1C=C[C@@H](C2)C)C(C)C,29350-73-0,5.678,1.177,0.9978101021737547,low-fidelity RED
Calamenene,C[C@H]1CC[C@H](C2=C1C=CC(=C2)C)C(C)C,483-77-2,6.393,1.225,0.6955213871621769,low-fidelity RED
Kaurene,C[C@H]1CC23CC[C@@H]4C(CC=C[C]4([C@@H]2CC[C@H]1C3)C)(C)C,34424-57-2,5.468,1.326,0.7228416147400477,low-fidelity RED
Cadinadiene,C[C@H]1CCC(C2C1=CCC(=C2)C)C(C)C,29837-12-5,6.155,1.326,0.8444672877027258,low-fidelity RED
Eremophilene,C[C@H]1CCC=C2C1(C[C@@H](CC2)C(=C)C)C,10219-75-7,5.791,1.413,0.7697402159170315,low-fidelity RED
α-Bulnesene,C[C@H]1CCC2=C(CC[C@H](C[C@@H]12)C(=C)C)C,3691-11-0,6.106,1.293,0.8638576271585489,low-fidelity RED
(+)-α-Santalyl Acetate,C/C(=C/CC[C]1(C2C[C@H]3C1([C@H]3C2)C)C)/COC(=O)C,41414-75-9,7.266,1.137,0.8796306042879584,low-fidelity RED
Ambrein,C/C(=C\CCC1[C]2(CCCC(C2CC[C]1(C)O)(C)C)C)/CC[C@@H]3C(=C)CCCC3(C)C,473-03-0,6.34,1.488,0.9927864825832384,low-fidelity RED
(E)-α-Bergamotene,C/C(C)=C\CC[C]2(C)[C@@H]1C[C@H]2C(/C)=C\C1,13474-59-4,7.303,1.302,0.8038967595406757,low-fidelity RED
Caryophyllene Alcohol Acetate,C/C/1=C/CC2C(CC2(C)C)C(=C)CCC1OC(=O)C,32214-91-8,6.438,1.411,0.9940447676035519,low-fidelity RED
Isocaryophyllene,C/C/1=C/CCC(=C)[C@H]2CC([C@@H]2CC1)(C)C,118-65-0,5.554,1.16,0.8919781387455633,low-fidelity RED
Germacrene D,C/C/1=C/CCC(=C)\C=C/C(CC1)C(C)C,37839-63-7,6.187,1.234,0.940744386111338,low-fidelity RED
β-Caryophyllene,C/C/1=C/CCC(=C)C2CC(C2CC1)(C)C,13877-93-5,5.554,1.16,0.8919781387455633,low-fidelity RED
Germacrene A,C/C/1=C\CC/C(=C/C[C@H](CC1)C(=C)C)/C,28387-44-2,5.495,0.7865,0.897566153550811,low-fidelity RED
Bicyclogermacrene,C/C/1=C\CC/C(=C/C2C(C2(C)C)CC1)/C,24703-35-3,5.41,1.202,0.7689278249614843,low-fidelity RED
Germacrene B,C/C/1=C\CC/C(=C/CC(=C(C)C)CC1)/C,15423-57-1,6.363,1.24,0.9236476600955582,low-fidelity RED
(E)-Germacrene D,C/C/1=C\CCC(=C)\C=C\C(CC1)C(C)C,23986-74-5,6.187,1.234,0.940744386111338,low-fidelity RED
